EPW,County,Region,BA Climate Zone,IECC Climate Zone,County Population,Regional Population Weight,GEA Region
LA_NEW-ORLEANS-IAP_722310_TY3A,"Orleans Parish, Louisiana",Southeast,Hot-Humid,2,"390,144",0.02611761,
LA_SHREVEPORT-DOWNTOWN_722484_TY3A,"Bossier Parish, Louisiana",Southeast,Hot-Humid,3,"127,039",0.008504437,
MD_BALTIMORE-BLT-WASHNGTN-IAP_724060_TY3A,"Baltimore County, Maryland",Southeast,Mixed-Humid,4,"827,370",0.055387055,
MS_GULFPORT-BILOXI-IAP_747685_TY3A,"Harrison County, Mississippi",Southeast,Hot-Humid,2,"208,080",0.013929606,
MS_JACKSON-IAP_722350_TY3A,"Hinds County, Mississippi",Southeast,Hot-Humid,3,"231,840",0.015520184,
NC_CHARLOTTE-DOUGLAS-IAP_723140_TY3A,"Mecklenburg County, North Carolina",Southeast,Mixed-Humid,3,"1,110,356",0.074331132,
NC_RALEIGH-DURHAM-IAP_723060_TY3A,"Wake County, North Carolina",Southeast,Mixed-Humid,4,"1,111,761",0.074425188,
SC_CHARLESTON-IAP_722080_TY3A,"Charleston County, South Carolina",Southeast,Hot-Humid,3,"411,406",0.027540963,
TN_MEMPHIS-IAP_723340_TY3A,"Shelby County, Tennessee",Southeast,Hot-Humid,3,"937,166",0.062737185,
TN_NASHVILLE-IAP_723270_TY3A,"Davidson County, Tennessee",Southeast,Hot-Humid,4,"694,144",0.046468438,
VA_NORFOLK-IAP_723080_TY3A,"Virginia Beach city, Virginia",Southeast,Mixed-Humid,4,"449,974",0.030122841,
WV_CHARLESTON-YEAGER-AP_724140_TY3A,"Kanawha County, West Virginia",Southeast,Mixed-Humid,4,"178,124",0.011924246,
WV_MORGANTOWN-HART-FIELD_724176_TY3A,"Monongalia County, West Virginia",Southeast,Cold,5,"105,612",0.007070038,
AZ_FLAGSTAFF-PULLIAM-AP_723755_TY3A,"Coconino County, Arizona",Southwest,Cold,5,"143,476",0.009840139,
AZ_KINGMAN_AMOS_723700_TY3A,"Mohave County, Arizona",Southwest,Hot-Dry,3,"212,181",0.014552194,
AZ_PHOENIX-SKY-HARBOR-IAP_722780_TY3A,"Maricopa County, Arizona",Southwest,Hot-Dry,2,"4,485,414",0.307627048,
AZ_PRESCOTT-LOVE-FIELD_723723_TY3A,"Yavapai County, Arizona",Southwest,Mixed-Dry,4,"235,099",0.016123999,
NM_ALBUQUERQUE-IAP_723650_TY3A,"Bernalillo County, New Mexico",Southwest,Mixed-Dry,4,"679,121",0.046576746,
NM_LAS-CRUCES-IAP_722695_TY3A,"Doña Ana County, New Mexico",Southwest,Hot-Dry,3,"218,195",0.014964657,
NM_SANTA-FE-CO-MUNI-AP_723656_TY3A,"Santa Fe County, New Mexico",Southwest,Cold,5,"150,358",0.010312133,
OK_OKLAHOMA-CITY-WILEY_723544_TY3A,"Oklahoma County, Oklahoma",Southwest,Mixed-Humid,3,"797,434",0.054691109,
TX_DALLAS-FORT-WORTH-IAP_722590_TY3A,"Dallas County, Texas",Southwest,Hot-Humid,3,"2,635,516",0.180753885,
TX_HOUSTON-ELLINGTON-AFB_722436_TY3A,"Harris County, Texas",Southwest,Hot-Humid,2,"4,713,325",0.323258066,
TX_LUBBOCK-IAP_722670_TY3A,"Lubbock County, Texas",Southwest,Hot-Dry,4,"310,569",0.021300024,
